premises_name, wine_region, website, premises_address, premises_suburb, premises_state&postcode, phone, fax, opening_hours, winemaker, established, dozen, yineyards
This page is corked...,Peel,www.peelwine.com.au,290 Fletcher Road, Karnup, WA 6176                        Peel            WA            6176,(08) 9524 1221,(08) 9524 1625,7 days 10-5,Will Nairn, Mark Morton,1974,4000,16 hectares,
Stefano de Pieri,Murray Darling,www.stefano.com.au,27 Deakin Avenue, Mildura, Vic 3502                        Murray Darling            VIC,(03) 5021 3627,(03) 5021 0842,Mon-Fri 8-6; w'ends 8+2,Sally Blackwell, Stefano de Pieri,2005,25 000,Not Available,
St Hallett,Various,www.sthallett.com.au,St Hallett Road, Tanunda, SA 5352                        Various            SA            5352,(08) 8563 7000,(08) 8563 7001,7 days 10-5,Toby Barlow, Shelley Cox, Darin Kinzie,1944,210 000,Not Available,
Steels Gate,Yarra Valley,www.steelsgate.com.au,227 Greenwoods Lane, Steels Creek, Vic 3775                        Yarra Valley            VIC            3775,0419 628 393,Not Available,Not,Aaron Zuccaro,2010,500,2 hectares,
Steler Estate Wines,Gippsland,www.stelerestatewines.com.au,26 Belvedere Close, Pakenham Upper, Vic 3810                        Gippsland            VIC,(03) 9796 5766,(03) 9796 5695,By appt,Tomo Steler,1996,350,0.8 hectares,
Stella Bella Wines,Margaret River,www.stellabella.com.au,205 Rosabrook Road, Margaret River, WA 6285                        Margaret River            WA            6285,(08) 9758 8611,(08) 9757 6022,7 days 10-5,Luke Jolliffe, Michael Kane,1997,50 000,87.9 hectares,
Steels Creek Estate,Yarra Valley,www.steelscreekestate.com.au,1 Sewell Road, Steels Creek, Vic 3775            PO Box 282 Yarra Glen Vic 3775            Yarra Valley            VIC            3775,(03) 5965 2448,(03) 5965 2448,W'ends and public hols 10-6,Simon Peirce,1981,400,1.7 hectares,
Stefani Estate,Various,www.stefaniestatewines.com.au,122 Long Gully Road, Healesville, Vic 3777                        Various            VIC,(03) 9570 8750,(03) 9579 1532,By appt,Peter Mackey,1998,6800,30 hectares,
Stefano Lubiana,Southern Tasmania,www.slw.com.au,60 Rowbottoms Road, Granton, Tas 7030            Granton            Southern Tasmania            TAS            7030,(03) 6263 7457,(03) 6263 7430,Thurs-Mon 11-4 (closed Jul),Steve Lubiana,1990,NFP,25 hectares,
Steinborner Family Vineyards,Barossa Valley,www.sfvineyards.com.au,91 Siegersdorf Road, Tanunda, SA 5352                        Barossa Valley            SA,0414 474 708,(08) 8522 4898,By appt,David Reynolds,2003,2000,12 hectares,
Pearwood Wines Piccadilly Vineyard,Adelaide Hills,,4 Lampert Road, Piccadilly, SA 5151                        Adelaide Hills            SA,(08) 8339 1749,Not Available,By appt,Simon Greenleaf (Contract),2007,200,2.6 hectares,
Pende Valde,McLaren Vale,www.pendevalde.com.au,PO Box 668, Kent Town, SA 5071                        McLaren Vale            SA,(08) 8363 8793,Not Available,Not,Various contract,1835,NA,Not Available,
Peccavi Wines,Margaret River,www.peccavi-wines.com,1121 WiIdwood Road, Yallingup Siding, WA 6282                        Margaret River            WA            6282,0423 958 255,(08) 6311 7435,By appt,Brian Fletcher,1996,2500,16 hectares,
Peregrine Ridge,Heathcote,www.peregrineridge.com.au,19 Carlyle Street, Moonee Ponds, Vic 3039 (postal)                        Heathcote            VIC,0411 741 772,(03) 9326 2885,Not,Graeme Quigley, Sue Kerrison,2001,1000,5.5 hectares,
Perri's Winery,Goulburn Valley,,495 River Road, Kialla, Vic 3631                        Goulburn Valley            VIC,(03) 5827 1292,Not Available,W'ends 10-5,Dom Perri,1999,60,2 hectares,
Perrini Estate,Adelaide Hills,www.perriniwines.com.au,Bower Road, Meadows, SA 5201                        Adelaide Hills,(08) 8388 3210,Not Available,7 days 10?5,Antonio Perrini,1997,15 000,6 hectares,
Penley Estate,Coonawarra,www.penley.com.au,McLeans Road, Coonawarra, SA 5263                        Coonawarra            SA,(08) 8736 3211,(08) 8736 3124,7 days 10-4,Kate Goodman, Matt Tilby,1988,35 000,111 hectares,
Pennyweight Winery,Beechworth,www.pennyweight.com.au,Pennyweight Lane, Beechworth, Vic 3747                        Beechworth            VIC,(03) 5728 1747,(03) 5728 1704,7 days 10-5,Stephen Newton Morris, Stephen MG Morris, Frederick Morris,1982,1500,8 hectares,
Peter Seppelt,Eden Valley,www.peterseppeltwines.com.au,Grand Cru Estate, Dewells Road, Springton, SA 5235                        Eden Valley            SA,(08) 8568 2452,(08) 8568 2452,Fri-Mon 10-5, Wed-Thurs by appt,Peter Seppelt,1981,500,9 hectares,
Iron Cloud Wines,Geographe,www.pepperilly.com,Suite 16, 18 Stirling Highway, Nedlands, WA 6009 (postal)                        Geographe            WA,0401 860 891,(08) 9389 6444,Not,Coby Ladwig,1999,2500,11 hectares,
Petersons,Hunter Valley,www.petersonswines.com.au,Mount View Road, Mount View, NSW 2325                        Hunter Valley            NSW,(02) 4990 1704,(02) 4991 1344,Mon-Sat 9-5, Sun 10-5,Colin Peterson, Gary Reed,1971,15 000,66 hectares,
Pewsey Vale,Eden Valley,www.pewseyvale.com,Eden Valley Road, Eden Valley, SA 5353                        Eden Valley            SA,(08) 8561 3200,(08) 8561 3393,By appt,Louisa Rose,1847,20 000,65 hectares,
Peveril Vineyard,Geelong,www.greatoceanroad.com.au/peverilvineyard,3360 Colac-Lavers Hill Road, Ferguron, Vic 3237                        Geelong            VIC,(03) 5235 9201,(03) 5235 9201,W'ends, public   school hols 10-6,Provenance Wines (Scott Ireland),2002,400,2.5 hectares,
Penbro Estate,Upper Goulburn,www.penbroestate.com.au,Cnr Melba Highway/Murrindindi Road, Glenburn, Vic 3717                        Upper Goulburn            VIC,0408 548 717,(03) 8794 0099,Not,Terry Barnett,1997,3000,Not Available,
Pettavel,Geelong,www.pettavel.com,65 Pettavel Road, Waurn Ponds, Vic 3216                        Geelong            VIC,(03) 5266 1120,(03) 5266 1140,7 days 10-5.30,Peter Flewellyn,2000,15 000,66.2 hectares,
Penfolds,Barossa Valley,www.penfolds.com,30 Tanunda Road, Nuriootpa, SA 5355                        Barossa Valley            SA,(08) 8568 8408,(08) 8568 9217,7 days 10-5,Peter Gago,1844,NFP,Not Available,
Pembroke,Southern Tasmania,www.pembrokewines.com,191 Richmond Road, Cambridge, Tas 7170                        Southern Tasmania            TAS,(03) 6278 3808,(03) 6234 5481,Most w'ends,Contract,1980,200,1.3 hectares,
Penny's Hill,McLaren Vale,www.pennyshill.com.au,281 Main Road, McLaren Vale, SA 5171                        McLaren Vale            SA            5171,(08) 8557 0800,Not Available,7 days 10-5,Alexia Roberts,1988,85 000,44 hectares,
Pendarves Estate,Hunter Valley,www.drnorrie.info,78 Old North Road, Belford, NSW 2335                        Hunter Valley            NSW,(02) 9913 1088,(02) 9970 6152,Not,Serenella Wines,1986,NA,Not Available,
Parish Lane Wines,Great Southern,www.parishlanewines.com.au,4 Moirs Road, Upper Kalgan, WA 6328                        Great Southern            WA,(08) 9846 1220,Not Available,By appt,Mike Garland, Andrew Hoadley,1997,400,Not Available,
Paul Morris,Clare Valley,www.paulmorriswines.com.au,3 Main Street, Minlaton, SA 5575 (postal)                        Clare Valley,0427 885 321,Not Available,Not,Paul Morris,2014,300,Not Available,
Wine Unplugged,Various,www.wineunplugged.com.au,PO Box 2208, Sunbury, Vic 3429                        Various,0432 021 668,Not Available,Not,Callie Jemmeson, Nina Stocker,2010,5000,14 hectares,
Panthers Paw,Yarra Valley,www.pantherspaw.com.au,1925 Melba Highway, Dixons Creek, Vic 3775                        Yarra Valley            VIC,(03) 5965 2205,(03) 9848 3664,Fri-Sun 10-10,Rob Dolan, Al Fencaros (Contract),1999,3800,Not Available,
Petaluma,Adelaide Hills,www.petaluma.com.au,254 Pfeiffer Road, Woodside, SA 5244                        Adelaide Hills            SA,(08) 8339 9300,(08) 8339 9301,Fri-Mon 10-4,Andrew Hardy, Mike Mudge,1976,100 000,240 hectares,
Panton Hill Winery,Yarra Valley,www.pantonhillwinery.com.au,145 Manuka Road, Panton Hill, Vic 3759                        Yarra Valley            VIC,(03) 9719 7342,(03) 9719 7362,W'ends and public hols 11-5, or by appt,Dr Teunis AP Kwak,1988,1000,4 hectares,
Parous,Barossa Valley,www.parous.com.au,1 Gomersal Road, Tanunda, SA 5352                        Barossa Valley            SA,0437 159 858,Not Available,Not,Matt Head,2010,2500,Not Available,
Paperbark Vines,South Eastern Australia,,PO Box 2553, Kent Town, SA 5071                        South Eastern Australia            ACT,(08) 8431 3675,(08) 8431 3674,Not,Contract,2000,NA,Not Available,
Shedleys,Blackwood Valley,www.shedleywines.com,251 Dalmore Road, Winnejup, WA 6255                        Blackwood Valley,(08) 9761 7512,Not Available,By appt,Chris Shedley,1992,800,4 hectares,
Shays Flat Estate,Pyrenees,www.shaysflat.com,482 Shays Flat-Malakoff Road, Landsborough, Vic 3384                        Pyrenees            VIC,(03) 5356 9304,(03) 9826 6191,By appt,Michael Unwin Wines,1999,1400,Not Available,
Shaw Vineyard Estate,Canberra District,www.shawvineyards.com.au,34 Isabel Drive, Murrumbateman, NSW 2582                        Canberra District            NSW            2582,(02) 6227 5827,(02) 6227 5865,Wed-Sun and public hols 10-5,Graeme Shaw, Tony Steffania,1999,12 000,33 hectares,
Shawwood Estate,Mudgee,www.shawwood.com.au,Cnr Craigmoor Road/Henry Lawson Drive, Mudgee, NSW 2850                        Mudgee            NSW,(02) 6372 0237,(02) 6372 0355,W'ends   public hols 10-4,Craig Bishop,1998,NA,Not Available,
Shining Rock Vineyard,Adelaide Hills,www.shiningrock.com.au,165 Jeffrey Street, Nairne, SA 5252                        Adelaide Hills,0448 186 707,Not Available,By appt,Con Moshos, Darren Arney,2000,1200,14.4 hectares,
Shaws Road,Yarra Valley,www.shawsroad.com.au,225 Shaws Road, Arthurs Creek, Vic 3099            Arthurs Creek            Yarra Valley            VIC            3099,(03) 9439 4144,(03) 9439 5121,3rd Sun each month 11-5,George Apted, John Graves,1990,1000,4.5 hectares,
Small Island Wines,Southern Tasmania,www.smallislandwines.com,Drink Co, Shop 10, 33 Salamanca Place, Hobart 7004                        Southern Tasmania,0414 896 930,Not Available,Mon-Sat 10-8,James Broinowski,2015,3500,3 hectares,
Shut the Gate Wines,Clare Valley,,2 Main North Road, Watervale, SA 5452                        Clare Valley            SA            5452,0488 243 200,Not Available,7 days 10-4.30,Contract,2013,6000,Not Available,
Smiths Vineyard,Beechworth,www.smithsvineyard.com.au,27 Croom Lane, Beechworth, Vic 3747                        Beechworth            VIC,0412 475 328,(03) 5728 1603,W'ends   public hols 10-5,Will Flamsteed,1978,1000,3.3 hectares,
SmithLeigh Vineyard,Hunter Valley,,3 Osborne Road, Lane Cove, NSW 2066 (postal)                        Hunter Valley            NSW,0418 484 565,(02) 9420 2014,Not,Andrew Margan (Contract),1997,NA,Not Available,
Smith and Hooper,Wrattonbully,www.smithandhooper.com,Caves Edward Road, Naracoorte, SA 5271                        Wrattonbully            SA,0412 847 383,(08) 8762 0514,By appt,Peter Gambetta,1994,15 000,62 hectares,
Small Gully Wines,Barossa Valley,www.smallgullywines.com.au,Roennfeldt Road, Greenock, SA 5355                        Barossa Valley            SA,0403 472 332,(08) 8376 4276,By appt,Stephen Black,1999,NA,66 hectares,
Smidge Wines,McLaren Vale,www.smidgewines.com,62 Austral Terrace, Malvern, SA 5061 (postal)                        McLaren Vale            SA            5171,(08) 8272 0369,(08) 8272 8491,Not,Matt Wenk,2004,1000,4 hectares,
Smithbrook,Pemberton,www.smithbrookwines.com.au,Smithbrook Road, Pemberton, WA 6260                        Pemberton            WA,(08) 9750 2150,(08) 9772 3579,By appt,Ben Rector,1988,10 000,57 hectares,
Swooping Magpie,Margaret River,www.swoopingmagpie.com.au,860 Commonage Road, Yallingup, WA 6282                        Margaret River            WA,(08) 9756 6227,(08) 9756 6227,Mon-Fri 10-4, w'ends 10-5,Ian Bell, Mark Thompson (Contract),1997,2000,4.5 hectares,
Saltire Wines,Hunter Valley,www.swishwine.com,113 Wilderness Road, Lovedale, NSW 2320                        Hunter Valley            NSW,(02) 4930 7594,(02) 8088 1066,7 days 10-5,Darren Atkinson,2008,5000,6 hectares,
Swinging Bridge,Central Ranges Zone,www.swingingbridge.com.au,33 Gaskill Street, Canowindra, NSW 2804                        Central Ranges Zone            NSW,0409 246 609,(02) 6344 3232,Fri-Sun 11-6,Tom Ward,1995,4000,45 hectares,
Smallfry Wines,Barossa Valley,www.smallfrywines.com.au,13 Murray Street, Angaston, SA 5353                        Barossa Valley            SA            5353,(08) 8564 2182,(08) 8564 2182,By appt tel 0412 153 243,Wayne Ahrens,2005,1500,27 hectares,
Swallows Welcome,Margaret River,,542 Wallis Road, Witchcliffe, WA 6286                        Margaret River            WA,(08) 9757 6348,(08) 9757 6348,Closed,Tim Negus,1994,300,1.9 hectares,
Sweet Water Hill Wines,Queensland Zone,www.sweetwaterhill.com.au,131 Roberts Road, Anderleigh, Qld 4570                        Queensland Zone            QLD,(07) 5485 7007,(07) 5485 7007,7 days 10-5,Alan Baxter,1999,1000,2.2 hectares,
Sweetwater Wines,Hunter Valley,www.sweetwaterwines.com.au,PO Box 256, Cessnock, NSW 2325                        Hunter Valley,(02) 4998 7666,Not Available,Not,Bryan Currie,1998,NFP,13.5 hectares,
Salt Collins,Various,www.saltcollins.com.au,Locked Mail Bag No 6, Sydney, NSW 2000                        Various            ACT,(02) 9958 3373,(02) 9958 3373,Not,Various contract,2005,NA,Not Available,
Swan Valley Wines,Swan Valley,www.swanvalleywines.com.au,261 Haddrill Road, Baskerville, WA 6065                        Swan Valley            WA,(08) 9296 1501,(08) 9296 1733,Thurs-Sun and public hols 10-5,Paul Hoffman,1999,1500,6 hectares,
Swinney Vineyards,Frankland River,www.swinneyvineyards.com.au,325 Frankland-Kojonup Road, Frankland River, WA 6396                        Frankland River            WA            6396,(08) 9200 4483,Not Available,Not,Peter Dawson, Tony Davis,1998,2500,160 hectares,
Swings and Roundabouts,Margaret River,www.swings.com.au,2807 Caves Road, Yallingup, WA 6232                        Margaret River            WA            6282,(08) 9756 6640,(08) 9756 6736,7 days 10-5,Brian Fletcher,2004,20 000,5 hectares,
Santa and D'Sas,Various,www.santandsas.com.au,2 Pincott Street, Newtown, Vic 3220                        Various            VIC            3220,0417 384272,Not Available,Not,Andrew Santarossa, Matthew Di Sciascio,2014,5000,Not Available,
Sassy Wines,Orange,www.sassywines.com.au,569 Emu Swamp Road, Orange, NSW 2800                        Orange,0409 311 395,Not Available,Sat 10-5, Sun 10-4,Peter Logan, Rob Coles,2005,600,6.5 hectares,
Sandhurst Ridge,Bendigo,www.sandhurstridge.com.au,156 Forest Drive, Marong, Vic 3515                        Bendigo            VIC,(03) 5435 2534,(03) 5435 2548,7 days 11-5,Paul Greblo,1990,3000,7.3 hectares,
Paulett Wines,Clare Valley,www.paulettwines.com.au,752 Jolly Way, Polish Hill River, SA 5453            Sevenhill             Clare Valley            SA            5453,(08) 8843 4328,(08) 8843 4202,7 days 10?5,Neil Paulett, Kirk McDonald,1983,15 000,61 hectares,
Paulmara Estates,Barossa Valley,www.paulmara.com.au,47 Park Avenue, Rosslyn Park, SA 5072 (postal)                        Barossa Valley            SA,0417 895 138,(08) 8364 3019,Not,Paul Georgiadis, Neil Pike,1999,275,12.8 hectares,
Parri Estate,Various,www.parriestate.com.au,Sneyd Road, Mount Compass, SA 5210                        Various            SA,(08) 8554 9660,(08) 8554 9694,W'ends and public hols and by appt,Linda Domas,1998,15 000,42 hectares,
Payne's Rise,Yarra Valley,www.paynesrise.com.au,10 Paynes Road, Seville, Vic 3139                        Yarra Valley            VIC,(03) 5964 2504,(03) 5961 9383,Thurs-Sun 11-5,Franco D'Anna (Contract),1998,1500,5 hectares,
This page is corked...,Yarra Valley,www.paynesrise.com.au,10 Paynes Road, Seville, Vic 3139                        Yarra Valley            VIC,(03) 5964 2504,(03) 5961 9383,Thurs-Sun 11-5,Franco D'Anna (Contract),1998,1500,5 hectares,
Patrick's Vineyard,Macedon Ranges,,Croziers Road, Cobaw via Mount Macedon, Vic 3441 (postal)                        Macedon Ranges            VIC,0419 598 401,(03) 9521 6266,Not,Alan Cooper,1996,400,2.5 hectares,
Patterson Lakes Estate,Port Phillip Zone,,Riverend Road, Bangholme, Vic 3175 (postal)                        Port Phillip Zone            VIC,(03) 9773 1034,(03) 9772 5634,Not,Contract,1998,NA,Not Available,
Pangallo Estate,Hunter Valley,www.pangalloestate.com.au,PO Box 1578, Dee Why, NSW 2099                        Hunter Valley            NSW,(02) 9984 1288,(02) 9971 0455,Not,Contract,2003,NFP,10 hectares,
Paxton,McLaren Vale,www.paxtonvineyards.com,68 Wheaton Road, McLaren Vale, SA 5171                        McLaren Vale            SA            5171,(08) 8323 9131,(08) 8323 8903,7 days 10-5,Richard Freebairn,1979,25 000,82.7 hectares,
